charger_voltage,charger_current,total_v,max_v,min_v,avg_v,max_temp,min_temp,avg_temp,max_min_balance
443.399994,3.900000,442.303711,3.953700,3.943200,3.949140,19.315424,16.502741,18.011412,0.010500
,,442.295532,3.953100,3.943200,3.949067,19.315424,16.502741,18.011568,0.009900
443.399994,3.900000,442.289917,3.952650,3.943350,3.949017,19.315424,16.502741,18.012115,0.009300
,,442.306702,3.952950,3.943350,3.949167,19.315424,16.502741,18.012510,0.009600
443.399994,3.900000,442.312195,3.953100,3.943650,3.949216,19.315424,16.502741,18.013611,0.009450
,,442.327271,3.953550,3.943800,3.949351,19.315424,16.502741,18.014160,0.009750
443.399994,3.900000,442.325745,3.953850,3.943500,3.949337,19.315424,16.507776,18.014242,0.010350
,,442.322235,3.953700,3.943500,3.949306,19.320490,16.507776,18.015104,0.010200
443.399994,3.900000,442.315430,3.952950,3.943650,3.949245,19.320490,16.507776,18.016130,0.009300
,,442.326477,3.952950,3.943500,3.949343,19.315424,16.507776,18.015812,0.009450
443.399994,3.900000,442.332092,3.953250,3.943500,3.949394,19.320490,16.507776,18.016758,0.009750
,,442.347168,3.953550,3.944250,3.949528,19.320490,16.507776,18.017229,0.009300
443.399994,3.900000,442.352448,3.953850,3.943800,3.949575,19.320490,16.507776,18.018093,0.010050
,,442.347839,3.954000,3.943500,3.949534,19.320490,16.507776,18.018723,0.010500
443.399994,3.900000,442.341492,3.953850,3.943500,3.949478,19.320490,,18.019348,0.010350
,,442.347595,3.953850,3.943650,3.949532,19.325525,16.507776,18.020136,0.010200
443.399994,3.900000,442.341888,3.953550,,3.949481,19.320490,16.507776,18.020292,0.009750
443.399994,3.900000,442.347992,3.953250,3.943800,3.949536,19.325525,16.507776,18.021000,0.009450
443.399994,3.900000,442.353424,3.953250,3.943950,3.949584,19.325525,16.512812,18.022259,0.009300
,,442.369659,3.953550,3.943950,3.949729,19.325525,16.512812,18.023045,0.009600
443.399994,3.900000,442.370453,3.953700,3.944250,3.949736,19.325525,16.512812,18.023518,0.009450
,,442.386414,3.954300,3.944100,3.949879,19.325525,16.512812,18.024225,0.010200
443.399994,3.900000,442.382172,3.954450,3.943800,3.949841,19.330561,16.512812,18.025091,0.010650
,,442.375885,3.953700,3.943950,3.949785,19.330561,16.512812,18.025171,0.009750
443.399994,3.900000,442.373962,3.953550,3.944100,3.949768,19.330561,16.512812,18.025879,0.009450
,,442.379272,3.953550,3.943950,3.949815,19.330561,16.512812,18.026665,0.009600
443.500000,3.900000,442.388275,3.953700,3.944100,3.949895,19.330561,16.512812,18.026506,0.009600
,,442.402130,3.954000,3.944850,3.950019,19.330561,16.517817,18.027451,0.009150
443.500000,3.900000,442.411926,3.954300,3.944550,3.950106,19.330561,16.517817,18.028393,0.009750
,,442.402222,3.954600,3.943950,3.950020,19.330561,16.517817,18.028629,0.010650
443.500000,3.900000,442.403107,3.954300,3.944100,3.950028,19.330561,16.517817,18.029337,0.010200
,,442.394165,3.953550,3.944400,3.949948,19.335596,16.517817,18.029810,0.009150
443.500000,3.900000,442.399261,3.953700,3.944250,3.949993,19.335596,16.517817,18.030279,0.009450
,,442.416718,3.954000,3.944400,3.950149,19.335596,16.517817,18.031065,0.009600
443.500000,3.900000,442.421814,3.954000,3.945000,3.950195,19.335596,16.517817,18.031382,0.009000
,,442.433899,3.954750,3.944700,3.950303,19.335596,16.517817,18.032167,0.010050
443.500000,3.900000,442.429993,3.954750,3.944400,3.950268,19.335596,16.517817,18.032637,0.010350
,,442.436676,3.954900,3.944250,3.950327,19.335596,16.517817,18.034130,0.010650
443.500000,3.900000,442.430084,3.954600,3.944400,3.950269,19.340662,16.517817,18.034918,0.010200
,,442.428619,3.953850,3.944550,3.950256,19.340662,16.522852,18.035465,0.009300
443.500000,3.900000,442.438141,3.954150,3.944550,3.950341,19.340662,16.522852,18.036016,0.009600
,,442.446686,3.954300,3.944550,3.950417,19.345697,16.522852,18.036331,0.009750
443.500000,3.900000,442.458252,3.954750,3.945150,3.950520,19.340662,16.522852,18.036880,0.009600
,,442.465485,3.955050,3.945000,3.950585,19.340662,16.522852,18.037668,0.010050
443.500000,3.900000,442.458649,3.955050,3.944400,3.950524,19.340662,16.527887,18.038765,0.010650
,,442.457458,3.954900,3.944400,3.950513,19.345697,16.522852,18.038925,0.010500
443.500000,3.900000,442.446686,3.954000,3.944850,3.950417,19.345697,16.522852,18.039789,0.009150
,,442.455292,3.954150,3.944700,3.950494,19.345697,16.522852,18.040104,0.009450
443.500000,3.900000,442.468384,3.954450,3.944700,3.950611,19.345697,16.527887,18.040495,0.009750
,,442.474365,3.954600,3.945000,3.950664,19.345697,16.527887,18.041361,0.009600
443.500000,3.900000,442.487122,3.954900,3.945450,3.950778,19.345697,16.527887,18.041597,0.009450
,,442.494629,3.955200,3.945150,3.950845,19.345697,16.527887,18.042543,0.010050
443.500000,3.900000,442.483276,3.955350,3.944700,3.950743,19.345697,16.527887,18.042700,0.010650
,,442.483948,3.954750,3.944850,3.950750,19.350733,16.527887,18.044037,0.009900
443.500000,3.900000,442.473755,3.954300,3.944850,3.950659,19.350733,16.527887,18.044273,0.009450
443.500000,3.900000,442.483612,3.954600,3.945000,3.950747,19.350733,16.527887,18.044746,0.009600
,,442.504791,3.954900,3.945000,3.950936,19.350733,16.532892,18.046158,0.009900
443.600006,3.900000,442.509399,3.955050,3.945450,3.950977,19.350733,16.532892,18.046631,0.009600
,,442.523041,3.955650,3.945300,3.951099,19.350733,16.532892,18.047100,0.010350
443.600006,3.900000,442.520905,3.955650,3.945150,3.951080,19.355768,16.532892,18.047338,0.010500
,,442.513214,3.955350,3.945000,3.951011,19.355768,16.532892,18.048361,0.010350
443.600006,3.900000,442.510040,3.954750,3.945150,3.950983,19.355768,16.532892,18.049149,0.009600
,,442.514862,3.954750,3.945300,3.951025,19.355768,16.532892,18.049461,0.009450
443.600006,3.900000,442.522583,3.954900,3.945300,3.951094,19.355768,16.532892,18.050406,0.009600
,,442.535339,3.955050,3.945600,3.951208,19.355768,16.537928,18.050879,0.009450
443.600006,3.900000,442.544586,3.955800,3.945750,3.951291,19.355768,16.532892,18.051271,0.010050
,,442.542511,3.955800,3.945150,3.951272,19.360834,16.537928,18.052057,0.010650
443.600006,4.000000,442.537079,3.955650,3.945150,3.951224,19.360834,16.537928,18.052999,0.010500
,,442.528320,3.955050,3.945600,3.951146,19.360834,16.537928,18.053080,0.009450
443.600006,3.900000,442.533905,3.954900,3.945450,3.951195,19.355768,16.532892,18.053471,0.009450
,,442.552063,3.955350,3.945750,3.951358,19.360834,16.537928,18.054258,0.009600
443.600006,3.900000,442.555237,3.955500,3.945750,3.951386,19.360834,16.537928,18.054653,0.009750
,,442.569489,3.955950,3.945600,3.951513,19.360834,16.537928,18.055441,0.010350
443.600006,3.900000,442.566406,3.956100,3.945450,3.951486,19.360834,16.537928,18.056068,0.010650
443.600006,3.900000,442.557281,3.955350,3.945450,3.951404,19.360834,16.542963,18.056381,0.009900
