Time,total_v,max_v,min_v,avg_v,max-min,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,max_temp,min_temp,avg_temp,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,undervoltage,overvoltage,pec,overtemperature,openwire,openwire_temp
19272,98.803490,2.988600,2.979900,3.528696,0.008700,4.073850,4.074300,4.074150,4.073700,4.073850,4.074300,4.074450,4.072500,4.073100,4.073850,4.072500,4.073100,4.072800,4.072950,2.986200,2.984100,2.985900,2.986200,2.988600,2.983950,2.981250,2.982000,2.982750,2.981850,2.979900,2.986050,2.983200,2.982150,27.349024,19.916010,23.614719,25.700403,23.880884,26.938776,26.734186,27.333216,27.349024,24.922388,26.734186,19.936213,19.916010,20.542902,21.836420,21.181238,21.907648,20.917627,22.004328,0,0,0,0,0,0
19774,98.803337,2.988600,2.979900,3.528691,0.008700,4.073850,4.074300,4.074150,4.073700,4.073850,4.074300,4.074300,4.072500,4.072950,4.073850,4.072500,4.073250,4.072800,4.072950,2.986350,2.984100,2.985900,2.986200,2.988600,2.983950,2.981250,2.982000,2.982750,2.981700,2.979900,2.986050,2.983200,2.982150,27.349024,19.916010,23.614376,25.695215,23.880884,26.938776,26.728937,27.333216,27.349024,24.922388,26.728937,19.936213,19.916010,20.542902,21.841516,21.186335,21.907648,20.917627,22.004328,0,0,0,0,0,0
20275,98.803040,2.988600,2.979900,3.528680,0.008700,4.073850,4.074300,4.074000,4.073550,4.074000,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986200,2.984100,2.985900,2.986200,2.988600,2.983950,2.981100,2.982000,2.982750,2.981700,2.979900,2.986050,2.983200,2.982150,27.343744,19.916010,23.613087,25.695215,23.875757,26.944025,26.728937,27.327936,27.343744,24.922388,26.728937,19.936213,19.916010,20.542902,21.836420,21.181238,21.907648,20.917627,22.004328,0,0,0,0,0,0
20776,98.803040,2.988600,2.979900,3.528680,0.008700,4.073850,4.074300,4.074150,4.073700,4.073850,4.074300,4.074300,4.072500,4.072950,4.073850,4.072500,4.073100,4.072800,4.072950,2.986200,2.984100,2.985900,2.986200,2.988600,2.983950,2.981250,2.981850,2.982750,2.981850,2.979900,2.986050,2.983200,2.982150,27.343744,19.916010,23.613712,25.695215,23.875757,26.938776,26.728937,27.327936,27.343744,24.922388,26.728937,19.936213,19.916010,20.542902,21.841516,21.186335,21.907648,20.922693,22.004328,0,0,0,0,0,0
21277,98.802597,2.988600,2.979900,3.528664,0.008700,4.073850,4.074300,4.074000,4.073550,4.073850,4.074150,4.074300,4.072500,4.073100,4.073850,4.072500,4.073100,4.072800,4.072950,2.986200,2.984100,2.985900,2.986200,2.988600,2.983950,2.981100,2.982000,2.982750,2.981700,2.979900,2.986050,2.983200,2.982150,27.343744,19.916010,23.612103,25.695215,23.875757,26.938776,26.723688,27.327936,27.343744,24.922388,26.723688,19.936213,19.916010,20.542902,21.836420,21.181238,21.907648,20.917627,22.004328,0,0,0,0,0,0
21778,98.802895,2.988600,2.979900,3.528675,0.008700,4.073850,4.074300,4.074000,4.073550,4.073850,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072650,4.072950,2.986350,2.984100,2.985900,2.986200,2.988600,2.983950,2.981250,2.981850,2.982750,2.981700,2.979900,2.986050,2.983200,2.982150,27.343744,19.916010,23.613075,25.695215,23.875757,26.938776,26.728937,27.327936,27.343744,24.922388,26.728937,19.936213,19.916010,20.542902,21.836420,21.181238,21.907648,20.922693,22.004328,0,0,0,0,0,0
22279,98.803047,2.988600,2.979900,3.528680,0.008700,4.073850,4.074300,4.074150,4.073700,4.073850,4.074300,4.074300,4.072500,4.072950,4.073700,4.072500,4.073250,4.072800,4.072800,2.986350,2.984100,2.985900,2.986200,2.988600,2.983950,2.981250,2.982000,2.982750,2.981850,2.979900,2.986050,2.983200,2.982000,27.343744,19.921045,23.612417,25.695215,23.875757,26.938776,26.723688,27.327936,27.343744,24.922388,26.723688,19.936213,19.921045,20.542902,21.836420,21.181238,21.907648,20.917627,22.004328,0,0,0,0,0,0
22780,98.803192,2.988600,2.979750,3.528685,0.008850,4.073850,4.074300,4.074000,4.073700,4.074000,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986200,2.984100,2.985900,2.986200,2.988600,2.983950,2.981250,2.982000,2.982750,2.981700,2.979750,2.986050,2.983200,2.982150,27.338465,19.921045,23.612396,25.689997,23.875757,26.938776,26.723688,27.327936,27.338465,24.922388,26.723688,19.936213,19.921045,20.542902,21.841516,21.181238,21.907648,20.922693,22.004328,0,0,0,0,0,0
23281,98.802750,2.988600,2.979900,3.528670,0.008700,4.073850,4.074300,4.074150,4.073700,4.073850,4.074300,4.074300,4.072500,4.072950,4.073850,4.072500,4.073100,4.072800,4.072950,2.986200,2.984100,2.985900,2.986200,2.988600,2.983950,2.981100,2.981850,2.982750,2.981850,2.979900,2.986050,2.983200,2.982000,27.338465,19.921045,23.611734,25.689997,23.880884,26.933527,26.718470,27.322687,27.338465,24.922388,26.723688,19.936213,19.921045,20.542902,21.841516,21.181238,21.907648,20.922693,22.004328,0,0,0,0,0,0
23782,98.802582,2.988600,2.979900,3.528664,0.008700,4.073850,4.074300,4.074150,4.073700,4.073850,4.074150,4.074300,4.072500,4.072950,4.073850,4.072500,4.073250,4.072800,4.072950,2.986200,2.984100,2.985900,2.986200,2.988600,2.983950,2.981100,2.981850,2.982600,2.981700,2.979900,2.986050,2.983200,2.982150,27.338465,19.921045,23.611731,25.689997,23.875757,26.933527,26.718470,27.322687,27.338465,24.922388,26.723688,19.941248,19.921045,20.542902,21.841516,21.186335,21.907648,20.917627,22.004328,0,0,0,0,0,0
24283,98.802437,2.988600,2.979900,3.528658,0.008700,4.073850,4.074300,4.074000,4.073700,4.073850,4.074150,4.074300,4.072500,4.072950,4.073850,4.072500,4.073250,4.072800,4.072950,2.986200,2.983950,2.985900,2.986200,2.988600,2.983950,2.981250,2.981850,2.982750,2.981700,2.979900,2.985900,2.983200,2.982150,27.338465,19.921045,23.611090,25.689997,23.880884,26.933527,26.718470,27.322687,27.338465,24.922388,26.718470,19.936213,19.921045,20.542902,21.836420,21.186335,21.907648,20.922693,21.999231,0,0,0,0,0,0
24784,98.802589,2.988600,2.979900,3.528664,0.008700,4.073850,4.074300,4.074000,4.073700,4.073850,4.074300,4.074300,4.072500,4.072950,4.073850,4.072500,4.073100,4.072650,4.072950,2.986200,2.984100,2.985900,2.986200,2.988600,2.983950,2.981250,2.981850,2.982750,2.981850,2.979900,2.986050,2.983200,2.982000,27.333216,19.921045,23.610756,25.684809,23.880884,26.933527,26.718470,27.322687,27.333216,24.922388,26.718470,19.936213,19.921045,20.542902,21.836420,21.186335,21.907648,20.922693,22.004328,0,0,0,0,0,0
25285,98.803032,2.988600,2.979900,3.528680,0.008700,4.073850,4.074300,4.074000,4.073700,4.073850,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986200,2.984100,2.985900,2.986200,2.988600,2.983950,2.981250,2.981850,2.982750,2.981700,2.979900,2.986050,2.983200,2.982150,27.333216,19.921045,23.610426,25.684809,23.880884,26.933527,26.718470,27.317408,27.333216,24.922388,26.718470,19.936213,19.921045,20.542902,21.836420,21.186335,21.907648,20.922693,22.004328,0,0,0,0,0,0
25786,98.802437,2.988600,2.979900,3.528658,0.008700,4.073850,4.074300,4.074000,4.073550,4.074000,4.074300,4.074300,4.072500,4.072950,4.073850,4.072500,4.073250,4.072800,4.072950,2.986200,2.984100,2.985900,2.986200,2.988600,2.983950,2.981100,2.981850,2.982750,2.981700,2.979900,2.985900,2.983200,2.982000,27.333216,19.926111,23.609777,25.684809,23.875757,26.928278,26.713221,27.322687,27.333216,24.922388,26.718470,19.936213,19.926111,20.542902,21.836420,21.181238,21.907648,20.922693,22.004328,0,0,0,0,0,0
26287,98.802292,2.988600,2.979900,3.528653,0.008700,4.073850,4.074300,4.074150,4.073550,4.073850,4.074300,4.074300,4.072500,4.072950,4.073850,4.072500,4.073100,4.072800,4.072950,2.986200,2.984100,2.985900,2.986200,2.988600,2.983950,2.981100,2.981850,2.982750,2.981700,2.979900,2.985900,2.983200,2.982000,27.327936,19.926111,23.609102,25.684809,23.875757,26.928278,26.713221,27.317408,27.327936,24.917200,26.713221,19.936213,19.926111,20.542902,21.841516,21.186335,21.907648,20.922693,22.004328,0,0,0,0,0,0
26788,98.802139,2.988600,2.979900,3.528648,0.008700,4.073850,4.074300,4.074150,4.073700,4.073850,4.074150,4.074300,4.072500,4.073100,4.073850,4.072500,4.073100,4.072650,4.072800,2.986200,2.983950,2.985900,2.986200,2.988600,2.983950,2.981100,2.981850,2.982750,2.981700,2.979900,2.985900,2.983200,2.982150,27.333216,19.926111,23.609419,25.679590,23.875757,26.928278,26.713221,27.317408,27.333216,24.917200,26.713221,19.941248,19.926111,20.542902,21.836420,21.186335,21.912714,20.922693,22.004328,0,0,0,0,0,0
27289,98.802589,2.988600,2.979900,3.528664,0.008700,4.073850,4.074300,4.074000,4.073700,4.073850,4.074300,4.074300,4.072500,4.072950,4.073850,4.072500,4.073100,4.072800,4.072950,2.986200,2.984100,2.985900,2.986200,2.988600,2.983950,2.981250,2.982000,2.982750,2.981700,2.979900,2.985900,2.983200,2.982000,27.333216,19.931147,23.609421,25.679590,23.880884,26.928278,26.713221,27.317408,27.333216,24.917200,26.713221,19.941248,19.931147,20.542902,21.841516,21.181238,21.907648,20.917627,22.004328,0,0,0,0,0,0
