"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.439493771E1,3.994765109E-1,-7.921455106E-2,-1.684001616E0
1.444478571E1,-1.473822499E-1,4.111719106E-2,5.905108935E-1
1.449463371E1,-1.436372180E-2,-2.753864983E-3,-9.413081646E-2
1.454448071E1,1.512280002E-2,6.051868200E-5,-1.489133799E-1
1.459432871E1,-4.533368222E-2,-6.856530955E-2,3.166735053E-2
1.464417671E1,2.823046681E-2,3.365474604E-2,-9.624750853E-2
1.469402471E1,-7.083998607E-2,-6.714437219E-2,6.385685742E-2
1.474387271E1,-1.420362869E-1,7.430815697E-2,3.693686128E-2
1.479372071E1,3.425890960E-1,-7.883093717E-2,1.169735491E-2
1.484356871E1,2.379507964E-2,1.805216370E-2,-5.360002255E-1
1.489341571E1,-1.573508025E-1,-1.222605558E-1,-7.268907666E-2
1.494326371E1,1.724276105E-1,1.688959105E-2,2.118364370E-1
1.499311171E1,-1.522183724E-2,4.289621556E-2,-3.071700257E-1
1.504295971E1,-5.279399849E-2,1.132155619E-1,7.066009283E-2
1.509280771E1,-8.255532118E-2,-2.045612216E-1,7.605707288E-2
1.514265571E1,-1.830902275E-1,4.853214573E-2,1.336439610E-2
1.519250358E1,2.288427531E-1,4.054433752E-2,2.645169264E-1
1.524235158E1,3.914087858E0,-6.152606955E-1,-2.527939022E0
1.529219958E1,-2.409597371E-1,2.588059874E-3,1.598132331E0
1.534204758E1,-8.093981954E-1,1.062068882E-1,2.620119208E0
1.539189558E1,4.902995574E-1,-8.444315870E-2,-1.849131079E0
1.544174258E1,7.876248820E-2,1.849933865E-2,-3.216664428E-1
1.549159058E1,-3.074365491E-1,5.242041623E-2,8.296824789E-1
1.554143858E1,1.283922111E-1,-7.148847884E-2,-4.789220452E-1
1.559128658E1,6.993379556E-3,4.501473488E-2,-2.052770305E-1
1.564113458E1,-5.020163544E-2,-5.481307860E-4,3.160928768E-1
1.569098258E1,1.594409628E-2,-1.133818056E-2,-1.566410601E-1
1.574083058E1,-8.794815335E-3,-2.709814436E-2,-1.503365922E-1
1.579067858E1,-3.726563925E-2,1.802337530E-2,1.750884408E-1
1.584052558E1,-7.977100499E-3,7.857835572E-3,-6.024035454E-2
1.589037358E1,7.790720500E-3,-9.635590129E-3,-1.650072563E-1
1.594022158E1,-2.109839860E-2,1.135364827E-2,8.586811602E-2
1.599006958E1,-2.726445196E-2,1.980196126E-3,-4.136905074E-2
1.603991758E1,1.616886690E-2,-2.191909187E-2,-1.715976530E-1
1.608976458E1,1.110005818E-1,-1.427655260E-2,-2.282039630E-1
1.613961258E1,-6.151391465E-2,1.529804290E-2,1.911279380E-2
1.618945971E1,9.410439435E-2,-8.050802825E-3,-2.054056692E-1
1.623930771E1,-9.007253816E-2,1.443446397E-2,2.150220001E-1
1.628915571E1,-2.089491550E-2,1.918614895E-2,1.430568087E-1
1.633900271E1,-4.706537168E-2,-1.541161593E-3,3.630887032E-2
1.638885071E1,7.485408135E-2,1.961402809E-3,-2.275806499E-1
1.643869871E1,1.571004320E-2,1.952403579E-2,-8.435778022E-3
1.648854671E1,-2.047391597E-2,1.228284849E-2,6.305754304E-2
1.653839371E1,5.545185037E-2,1.275031511E-2,9.426588714E-2
1.658824171E1,5.608974505E-1,-8.820275391E-2,1.283633405E-1
1.663808971E1,8.131702343E-1,-6.064750347E-2,-2.819058441E0
1.668793771E1,-3.013433849E-2,4.222821685E-2,2.697402442E-1
1.673778471E1,-3.002983779E-3,-1.325565616E-2,-5.407154202E-2
